@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,13-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value_Unit numeric
@attribute DataValueTypeID numeric
@attribute Data_Value_Type numeric
@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
1,1,1,-0.003787,0.026914,'Overall Health'
1,1,1,-0.021612,-0.463745,'Cognitive Decline'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,0.753758,0.56849,'Screenings and Vaccines'
1,1,1,0.473021,0.600892,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,1.297409,1.318365,'Overall Health'
2,2,2,-1.38965,-1.352485,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,1.622708,1.327622,Caregiving
1,1,1,-0.351367,-0.486889,'Cognitive Decline'
1,1,1,-0.542981,-0.616497,Caregiving
1,1,1,-0.124103,-0.088808,'Screenings and Vaccines'
1,1,1,1.475655,1.623869,'Screenings and Vaccines'
1,1,1,-0.547438,-0.459116,'Overall Health'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,1.587058,1.711817,'Screenings and Vaccines'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,1.070145,1.198014,'Screenings and Vaccines'
1,1,1,2.11734,2.258022,'Screenings and Vaccines'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.367369,-1.29231,'Smoking and Alcohol Use'
1,1,1,-0.67221,-0.778507,'Cognitive Decline'
1,1,1,0.802776,0.508315,'Cognitive Decline'
1,1,1,1.560321,1.647013,Caregiving
1,1,1,-1.022543,-0.968484,'Mental Health'
1,1,1,0.13881,0.207439,'Nutrition/Physical Activity/Obesity'
1,1,1,-0.38256,-0.491518,'Nutrition/Physical Activity/Obesity'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,1.751936,1.901601,'Overall Health'
1,1,1,0.098704,0.207439,'Overall Health'
1,1,1,2.121796,1.887714,'Screenings and Vaccines'
2,2,2,-1.452036,-1.329341,'Overall Health'
1,1,1,1.243935,1.151726,'Overall Health'
1,1,1,-0.137472,-0.190642,'Overall Health'
1,1,1,-1.050983,-1.111785,'Nutrition/Physical Activity/Obesity'
1,1,1,2.005936,1.156355,Caregiving
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,-1.077719,-1.079383,'Mental Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.700284,0.883252,'Screenings and Vaccines'
1,1,1,-0.863824,-0.972919,'Screenings and Vaccines'
1,1,1,-0.431578,-0.334137,'Overall Health'
1,1,1,0.10316,0.230584,'Screenings and Vaccines'
2,2,2,-1.371825,-1.259908,'Overall Health'
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,0.075433,0.107494,'Overall Health'
1,1,1,0.997942,1.004426,'Screenings and Vaccines'
1,1,1,0.678004,0.175037,Caregiving
1,1,1,0.348249,0.475913,'Screenings and Vaccines'
1,1,1,-1.117744,-1.0579,'Smoking and Alcohol Use'
1,1,1,0.036318,0.059316,'Overall Health'
1,1,1,2.562955,2.804227,'Overall Health'
1,1,1,2.415902,2.586671,'Overall Health'
1,1,1,1.63162,1.637756,'Screenings and Vaccines'
1,1,1,-0.2044,-0.28392,Caregiving
1,1,1,-0.235507,-0.144354,'Nutrition/Physical Activity/Obesity'
1,1,1,2.469376,2.707021,'Screenings and Vaccines'
1,1,1,-0.90393,-0.857198,Caregiving
1,1,1,1.63162,1.156355,'Screenings and Vaccines'
1,1,1,-0.264658,-0.447356,'Cognitive Decline'
1,1,1,-1.077719,-1.019208,'Mental Health'
1,1,1,1.497935,1.508148,'Screenings and Vaccines'
2,2,2,-1.456492,-1.338599,'Overall Health'
1,1,1,2.054954,1.957147,Caregiving
2,2,2,0.075433,0.107494,'Overall Health'
1,1,1,-1.149018,-1.033094,'Nutrition/Physical Activity/Obesity'
