@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,8-10,14-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute High_Confidence_Limit numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
-0.003787,0.026914,-0.031009,'Overall Health'
-0.021612,-0.463745,0.489903,'Cognitive Decline'
0.075433,0.107494,0.032443,'Overall Health'
-0.264658,-0.447356,-0.051172,'Cognitive Decline'
0.753758,0.56849,0.903189,'Screenings and Vaccines'
0.473021,0.600892,0.339226,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
1.297409,1.318365,1.251899,'Overall Health'
-1.38965,-1.352485,-1.443069,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
1.622708,1.327622,1.764201,Caregiving
-0.351367,-0.486889,-0.181687,'Cognitive Decline'
-0.542981,-0.616497,-0.43999,Caregiving
-0.124103,-0.088808,-0.155856,'Screenings and Vaccines'
1.475655,1.623869,1.325085,'Screenings and Vaccines'
-0.547438,-0.459116,-0.638023,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
1.587058,1.711817,1.454236,'Screenings and Vaccines'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,'Smoking and Alcohol Use'
1.070145,1.198014,0.941934,'Screenings and Vaccines'
2.11734,2.258022,1.957928,'Screenings and Vaccines'
0.075433,0.107494,0.032443,'Overall Health'
-1.367369,-1.29231,-1.417239,'Smoking and Alcohol Use'
-0.67221,-0.778507,-0.513176,'Cognitive Decline'
0.802776,0.508315,1.040951,'Cognitive Decline'
1.560321,1.647013,1.458541,Caregiving
-1.022543,-0.968484,-1.057809,'Mental Health'
0.13881,0.207439,0.063702,'Nutrition/Physical Activity/Obesity'
-0.38256,-0.491518,-0.250568,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
1.751936,1.901601,1.591998,'Overall Health'
0.098704,0.207439,-0.009484,'Overall Health'
2.121796,1.887714,2.138741,'Screenings and Vaccines'
-1.452036,-1.329341,-1.585136,'Overall Health'
1.243935,1.151726,1.290644,'Overall Health'
-0.137472,-0.190642,-0.078365,'Overall Health'
-1.050983,-1.111785,-0.913547,'Nutrition/Physical Activity/Obesity'
2.005936,1.156355,2.229147,Caregiving
0.075433,0.107494,0.032443,'Overall Health'
-1.077719,-1.079383,-1.034088,'Mental Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
0.700284,0.883252,0.520038,'Screenings and Vaccines'
-0.863824,-0.972919,-0.663853,'Screenings and Vaccines'
-0.431578,-0.334137,-0.530396,'Overall Health'
0.10316,0.230584,-0.026704,'Screenings and Vaccines'
-1.371825,-1.259908,-1.49473,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
0.075433,0.107494,0.032443,'Overall Health'
0.997942,1.004426,0.96825,'Screenings and Vaccines'
