@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,8-10,14-17-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute Data_Value numeric
@attribute Low_Confidence_Limit numeric
@attribute High_Confidence_Limit numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
-0.003787,0.026914,-0.031009,27,'Overall Health'
-0.021612,-0.463745,0.489903,17,'Cognitive Decline'
0.075433,0.107494,0.032443,18,'Overall Health'
-0.264658,-0.447356,-0.051172,27,'Cognitive Decline'
0.753758,0.56849,0.903189,51,'Screenings and Vaccines'
0.473021,0.600892,0.339226,21,'Screenings and Vaccines'
0.997942,1.004426,0.96825,40,'Screenings and Vaccines'
0.075433,0.107494,0.032443,20,'Overall Health'
1.297409,1.318365,1.251899,29,'Overall Health'
-1.38965,-1.352485,-1.443069,41,'Overall Health'
0.997942,1.004426,0.96825,33,'Screenings and Vaccines'
1.622708,1.327622,1.764201,40,Caregiving
-0.351367,-0.486889,-0.181687,37,'Cognitive Decline'
-0.542981,-0.616497,-0.43999,23,Caregiving
-0.124103,-0.088808,-0.155856,9,'Screenings and Vaccines'
1.475655,1.623869,1.325085,15,'Screenings and Vaccines'
-0.547438,-0.459116,-0.638023,25,'Overall Health'
0.075433,0.107494,0.032443,11,'Overall Health'
1.587058,1.711817,1.454236,41,'Screenings and Vaccines'
0.997942,1.004426,0.96825,18,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,3,'Smoking and Alcohol Use'
1.070145,1.198014,0.941934,32,'Screenings and Vaccines'
2.11734,2.258022,1.957928,37,'Screenings and Vaccines'
0.075433,0.107494,0.032443,2,'Overall Health'
-1.367369,-1.29231,-1.417239,37,'Smoking and Alcohol Use'
-0.67221,-0.778507,-0.513176,9,'Cognitive Decline'
0.802776,0.508315,1.040951,54,'Cognitive Decline'
1.560321,1.647013,1.458541,35,Caregiving
-1.022543,-0.968484,-1.057809,12,'Mental Health'
0.13881,0.207439,0.063702,23,'Nutrition/Physical Activity/Obesity'
-0.38256,-0.491518,-0.250568,14,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,47,'Screenings and Vaccines'
1.751936,1.901601,1.591998,34,'Overall Health'
0.098704,0.207439,-0.009484,50,'Overall Health'
2.121796,1.887714,2.138741,34,'Screenings and Vaccines'
-1.452036,-1.329341,-1.585136,6,'Overall Health'
1.243935,1.151726,1.290644,26,'Overall Health'
-0.137472,-0.190642,-0.078365,1,'Overall Health'
-1.050983,-1.111785,-0.913547,44,'Nutrition/Physical Activity/Obesity'
2.005936,1.156355,2.229147,39,Caregiving
0.075433,0.107494,0.032443,8,'Overall Health'
-1.077719,-1.079383,-1.034088,35,'Mental Health'
0.997942,1.004426,0.96825,22,'Screenings and Vaccines'
0.700284,0.883252,0.520038,4,'Screenings and Vaccines'
-0.863824,-0.972919,-0.663853,33,'Screenings and Vaccines'
-0.431578,-0.334137,-0.530396,29,'Overall Health'
0.10316,0.230584,-0.026704,21,'Screenings and Vaccines'
-1.371825,-1.259908,-1.49473,35,'Overall Health'
0.075433,0.107494,0.032443,6,'Overall Health'
0.075433,0.107494,0.032443,16,'Overall Health'
0.997942,1.004426,0.96825,1,'Screenings and Vaccines'
0.678004,0.175037,1.114137,39,Caregiving
0.348249,0.475913,0.222989,21,'Screenings and Vaccines'
-1.117744,-1.0579,-1.160363,1,'Smoking and Alcohol Use'
0.036318,0.059316,0.007736,31,'Overall Health'
2.562955,2.804227,2.315248,53,'Overall Health'
2.415902,2.586671,2.220537,12,'Overall Health'
1.63162,1.637756,1.579083,24,'Screenings and Vaccines'
-0.2044,-0.28392,-0.097691,40,Caregiving
-0.235507,-0.144354,-0.328059,1,'Nutrition/Physical Activity/Obesity'
2.469376,2.707021,2.229147,6,'Screenings and Vaccines'
-0.90393,-0.857198,-0.939377,8,Caregiving
1.63162,1.156355,1.863217,28,'Screenings and Vaccines'
-0.264658,-0.447356,-0.051172,27,'Cognitive Decline'
-1.077719,-1.019208,-1.124495,1,'Mental Health'
1.497935,1.508148,1.454236,21,'Screenings and Vaccines'
-1.456492,-1.338599,-1.576526,47,'Overall Health'
2.054954,1.957147,2.031114,33,Caregiving
0.075433,0.107494,0.032443,27,'Overall Health'
-1.149018,-1.033094,-1.270867,52,'Nutrition/Physical Activity/Obesity'
-1.233685,-1.162702,-1.301002,7,'Overall Health'
-0.917298,-0.84794,-0.982428,35,'Mental Health'
0.147722,-0.357281,0.696546,2,'Overall Health'
0.997942,1.004426,0.96825,31,'Screenings and Vaccines'
-1.465405,-1.343227,-1.593746,4,'Overall Health'
-0.391472,-0.315621,-0.465821,50,'Overall Health'
1.872252,1.971033,1.751285,36,'Screenings and Vaccines'
2.090603,1.883085,2.108606,36,'Screenings and Vaccines'
-1.33172,-1.218248,-1.447374,25,'Mental Health'
0.075433,0.107494,0.032443,28,'Overall Health'
-1.278246,-1.158073,-1.400019,12,'Overall Health'
-1.022543,-0.968484,-1.057809,30,'Mental Health'
0.075433,0.107494,0.032443,3,'Overall Health'
0.10316,-0.098065,0.30909,50,'Cognitive Decline'
-1.443124,-1.33397,-1.555001,32,'Overall Health'
1.190461,1.235045,1.135662,23,'Screenings and Vaccines'
0.441828,0.198182,0.66641,54,'Screenings and Vaccines'
2.023761,2.077497,1.923488,29,'Overall Health'
-0.970772,-1.079383,-0.75426,52,'Mental Health'
-0.761333,-0.672043,-0.844666,1,'Smoking and Alcohol Use'
0.997942,1.004426,0.96825,25,'Screenings and Vaccines'
-0.574175,-0.491518,-0.659548,5,'Overall Health'
1.177092,-0.005488,1.897658,54,'Screenings and Vaccines'
1.043408,0.832335,1.187323,20,'Screenings and Vaccines'
-1.022543,-0.968484,-1.057809,46,'Mental Health'
-1.073263,-0.986806,-1.15463,26,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,1,'Overall Health'
-0.605368,-0.528549,-0.676768,1,'Overall Health'
-0.418209,-0.380425,-0.45721,1,'Nutrition/Physical Activity/Obesity'
0.504214,0.637923,0.373666,24,'Overall Health'
-0.96186,-0.852569,-1.072834,38,'Mental Health'
0.075433,0.107494,0.032443,37,'Overall Health'
-0.324246,-0.3228,-0.315909,37,'Nutrition/Physical Activity/Obesity'
-0.993053,-1.074754,-0.818835,29,'Smoking and Alcohol Use'
-0.066173,0.059316,-0.194602,51,'Nutrition/Physical Activity/Obesity'
1.132531,0.943427,1.260509,8,'Screenings and Vaccines'
1.783129,1.739591,1.764201,24,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,19,'Nutrition/Physical Activity/Obesity'
-0.264658,-0.447356,-0.051172,27,'Cognitive Decline'
-0.413753,-0.301735,-0.521786,34,'Overall Health'
-1.380738,-1.269166,-1.490425,33,'Smoking and Alcohol Use'
-0.78807,-0.861826,-0.663853,7,'Mental Health'
0.075433,0.107494,0.032443,52,'Overall Health'
-0.137472,-0.496147,0.29187,43,'Nutrition/Physical Activity/Obesity'
-0.324246,-0.3228,-0.315909,52,'Nutrition/Physical Activity/Obesity'
1.792041,1.582209,1.863217,2,'Screenings and Vaccines'
0.321512,0.429624,0.210074,53,'Screenings and Vaccines'
-0.324246,-0.3228,-0.315909,42,'Nutrition/Physical Activity/Obesity'
0.075433,0.107494,0.032443,23,'Overall Health'
0.147722,-0.324879,0.6578,31,'Cognitive Decline'
0.075433,0.107494,0.032443,12,'Overall Health'
-1.255966,-1.195104,-1.292392,16,'Smoking and Alcohol Use'
0.075433,0.107494,0.032443,15,'Overall Health'
-1.117744,-1.0579,-1.160363,6,'Smoking and Alcohol Use'
2.340148,2.364486,2.220537,26,'Overall Health'
-0.2044,-0.28392,-0.097691,11,Caregiving
-1.022543,-0.968484,-1.057809,28,'Mental Health'
-1.291615,-1.176589,-1.408629,6,'Overall Health'
-0.186489,-0.135096,-0.237652,25,'Nutrition/Physical Activity/Obesity'
0.997942,1.004426,0.96825,32,'Screenings and Vaccines'
0.963197,1.082293,0.842918,48,'Screenings and Vaccines'
0.285862,-0.301735,0.898884,39,'Cognitive Decline'
-0.003787,-0.03789,0.029261,31,'Overall Health'
0.997942,1.004426,0.96825,42,'Screenings and Vaccines'
0.793864,0.119491,1.342305,39,'Cognitive Decline'
-0.190946,-0.135096,-0.250568,41,'Nutrition/Physical Activity/Obesity'
-1.104456,-1.097898,-1.081444,11,'Mental Health'
-1.022543,-0.968484,-1.057809,20,'Mental Health'
-0.908386,-0.829424,-0.982428,31,Caregiving
-0.222139,-0.52392,0.149803,7,'Screenings and Vaccines'
0.62453,0.40648,0.808477,1,'Overall Health'
-1.269334,-1.167331,-1.365578,16,'Mental Health'
-0.422665,-0.352652,-0.491651,28,'Mental Health'
0.997942,1.004426,0.96825,30,'Screenings and Vaccines'
0.499758,0.559232,0.433937,12,'Overall Health'
0.075433,0.107494,0.032443,13,'Overall Health'
-0.083998,-0.033261,-0.134331,21,'Screenings and Vaccines'
0.075433,0.107494,0.032443,49,'Overall Health'
