@relation 'Alzh_test-weka.filters.unsupervised.attribute.Remove-R1-5,7-16'

@attribute Topic numeric
@attribute Stratification2 numeric
@attribute Geolocation numeric
@attribute Class {'Overall Health','Cognitive Decline','Screenings and Vaccines',Caregiving,'Smoking and Alcohol Use','Mental Health','Nutrition/Physical Activity/Obesity'}

@data
38,6,27,'Overall Health'
31,6,17,'Cognitive Decline'
29,2,18,'Overall Health'
31,1,27,'Cognitive Decline'
4,3,51,'Screenings and Vaccines'
13,5,21,'Screenings and Vaccines'
5,7,40,'Screenings and Vaccines'
20,3,20,'Overall Health'
3,6,29,'Overall Health'
35,7,41,'Overall Health'
14,1,33,'Screenings and Vaccines'
24,5,40,Caregiving
17,6,37,'Cognitive Decline'
26,6,23,Caregiving
4,5,9,'Screenings and Vaccines'
4,5,15,'Screenings and Vaccines'
2,5,25,'Overall Health'
35,3,11,'Overall Health'
14,5,41,'Screenings and Vaccines'
13,3,18,'Screenings and Vaccines'
15,1,3,'Smoking and Alcohol Use'
13,5,32,'Screenings and Vaccines'
7,3,37,'Screenings and Vaccines'
20,7,2,'Overall Health'
15,6,37,'Smoking and Alcohol Use'
31,5,9,'Cognitive Decline'
17,5,54,'Cognitive Decline'
24,6,35,Caregiving
1,1,12,'Mental Health'
9,6,23,'Nutrition/Physical Activity/Obesity'
11,7,14,'Nutrition/Physical Activity/Obesity'
7,2,47,'Screenings and Vaccines'
20,4,34,'Overall Health'
28,5,50,'Overall Health'
10,3,34,'Screenings and Vaccines'
35,6,6,'Overall Health'
20,3,26,'Overall Health'
38,6,1,'Overall Health'
11,4,44,'Nutrition/Physical Activity/Obesity'
24,3,39,Caregiving
2,1,8,'Overall Health'
1,3,35,'Mental Health'
36,1,22,'Screenings and Vaccines'
13,5,4,'Screenings and Vaccines'
6,7,33,'Screenings and Vaccines'
19,6,29,'Overall Health'
5,5,21,'Screenings and Vaccines'
22,4,35,'Overall Health'
35,7,6,'Overall Health'
19,1,16,'Overall Health'
13,1,1,'Screenings and Vaccines'
25,1,39,Caregiving
13,7,21,'Screenings and Vaccines'
15,1,1,'Smoking and Alcohol Use'
38,6,31,'Overall Health'
34,6,53,'Overall Health'
34,7,12,'Overall Health'
8,5,24,'Screenings and Vaccines'
24,1,40,Caregiving
11,6,1,'Nutrition/Physical Activity/Obesity'
36,6,6,'Screenings and Vaccines'
27,4,8,Caregiving
10,7,28,'Screenings and Vaccines'
31,3,27,'Cognitive Decline'
1,6,1,'Mental Health'
14,3,21,'Screenings and Vaccines'
35,4,47,'Overall Health'
24,4,33,Caregiving
35,1,27,'Overall Health'
33,4,52,'Nutrition/Physical Activity/Obesity'
39,4,7,'Overall Health'
16,4,35,'Mental Health'
19,1,2,'Overall Health'
10,7,31,'Screenings and Vaccines'
35,3,4,'Overall Health'
29,5,50,'Overall Health'
7,5,36,'Screenings and Vaccines'
36,7,36,'Screenings and Vaccines'
1,5,25,'Mental Health'
2,3,28,'Overall Health'
39,6,12,'Overall Health'
16,3,30,'Mental Health'
19,2,3,'Overall Health'
31,6,50,'Cognitive Decline'
22,4,32,'Overall Health'
4,4,23,'Screenings and Vaccines'
13,7,54,'Screenings and Vaccines'
3,4,29,'Overall Health'
1,1,52,'Mental Health'
12,6,1,'Smoking and Alcohol Use'
5,3,25,'Screenings and Vaccines'
29,5,5,'Overall Health'
37,1,54,'Screenings and Vaccines'
37,1,20,'Screenings and Vaccines'
16,7,46,'Mental Health'
15,6,26,'Smoking and Alcohol Use'
29,1,1,'Overall Health'
19,4,1,'Overall Health'
9,6,1,'Nutrition/Physical Activity/Obesity'
2,6,24,'Overall Health'
16,6,38,'Mental Health'
29,1,37,'Overall Health'
9,2,37,'Nutrition/Physical Activity/Obesity'
12,3,29,'Smoking and Alcohol Use'
11,6,51,'Nutrition/Physical Activity/Obesity'
4,3,8,'Screenings and Vaccines'
10,6,24,'Screenings and Vaccines'
9,7,19,'Nutrition/Physical Activity/Obesity'
31,3,27,'Cognitive Decline'
28,6,34,'Overall Health'
12,6,33,'Smoking and Alcohol Use'
1,1,7,'Mental Health'
34,7,52,'Overall Health'
33,6,43,'Nutrition/Physical Activity/Obesity'
9,7,52,'Nutrition/Physical Activity/Obesity'
14,1,2,'Screenings and Vaccines'
13,5,53,'Screenings and Vaccines'
33,1,42,'Nutrition/Physical Activity/Obesity'
22,1,23,'Overall Health'
18,4,31,'Cognitive Decline'
29,2,12,'Overall Health'
15,4,16,'Smoking and Alcohol Use'
20,1,15,'Overall Health'
12,1,6,'Smoking and Alcohol Use'
34,3,26,'Overall Health'
25,1,11,Caregiving
1,2,28,'Mental Health'
39,6,6,'Overall Health'
32,4,25,'Nutrition/Physical Activity/Obesity'
7,7,32,'Screenings and Vaccines'
37,5,48,'Screenings and Vaccines'
18,3,39,'Cognitive Decline'
38,4,31,'Overall Health'
7,1,42,'Screenings and Vaccines'
17,3,39,'Cognitive Decline'
9,6,41,'Nutrition/Physical Activity/Obesity'
1,7,11,'Mental Health'
1,3,20,'Mental Health'
23,5,31,Caregiving
13,7,7,'Screenings and Vaccines'
21,3,1,'Overall Health'
1,6,16,'Mental Health'
16,6,28,'Mental Health'
13,1,30,'Screenings and Vaccines'
21,3,12,'Overall Health'
22,1,13,'Overall Health'
5,3,21,'Screenings and Vaccines'
35,7,49,'Overall Health'
19,2,13,'Overall Health'
2,7,4,'Overall Health'
35,5,20,'Overall Health'
25,6,27,Caregiving
13,4,21,'Screenings and Vaccines'
4,3,45,'Screenings and Vaccines'
28,7,30,'Overall Health'
29,1,14,'Overall Health'
2,5,20,'Overall Health'
30,6,16,'Cognitive Decline'
4,5,12,'Screenings and Vaccines'
25,7,36,Caregiving
28,2,10,'Overall Health'
13,3,29,'Screenings and Vaccines'
12,1,46,'Smoking and Alcohol Use'
28,4,11,'Overall Health'
36,4,12,'Screenings and Vaccines'
1,4,6,'Mental Health'
15,3,22,'Smoking and Alcohol Use'
2,7,45,'Overall Health'
21,1,21,'Overall Health'
9,3,34,'Nutrition/Physical Activity/Obesity'
20,4,5,'Overall Health'
37,2,21,'Screenings and Vaccines'
16,6,2,'Mental Health'
31,6,31,'Cognitive Decline'
35,2,9,'Overall Health'
16,7,13,'Mental Health'
18,1,19,'Cognitive Decline'
1,1,36,'Mental Health'
15,6,3,'Smoking and Alcohol Use'
8,6,14,'Screenings and Vaccines'
13,7,21,'Screenings and Vaccines'
37,6,18,'Screenings and Vaccines'
9,7,12,'Nutrition/Physical Activity/Obesity'
37,4,32,'Screenings and Vaccines'
10,5,44,'Screenings and Vaccines'
9,7,7,'Nutrition/Physical Activity/Obesity'
16,5,2,'Mental Health'
12,6,32,'Smoking and Alcohol Use'
35,5,15,'Overall Health'
33,6,11,'Nutrition/Physical Activity/Obesity'
6,2,36,'Screenings and Vaccines'
1,7,15,'Mental Health'
1,3,50,'Mental Health'
15,6,10,'Smoking and Alcohol Use'
9,4,17,'Nutrition/Physical Activity/Obesity'
39,7,35,'Overall Health'
29,5,17,'Overall Health'
24,6,39,Caregiving
36,4,43,'Screenings and Vaccines'
33,1,50,'Nutrition/Physical Activity/Obesity'
35,5,41,'Overall Health'
38,4,6,'Overall Health'
4,1,17,'Screenings and Vaccines'
17,5,4,'Cognitive Decline'
28,5,9,'Overall Health'
25,6,25,Caregiving
9,6,38,'Nutrition/Physical Activity/Obesity'
12,1,39,'Smoking and Alcohol Use'
31,1,50,'Cognitive Decline'
3,4,36,'Overall Health'
6,5,4,'Screenings and Vaccines'
28,5,35,'Overall Health'
11,1,40,'Nutrition/Physical Activity/Obesity'
23,5,11,Caregiving
8,5,35,'Screenings and Vaccines'
32,6,37,'Nutrition/Physical Activity/Obesity'
13,4,10,'Screenings and Vaccines'
38,6,18,'Overall Health'
33,3,52,'Nutrition/Physical Activity/Obesity'
22,7,15,'Overall Health'
24,6,52,Caregiving
36,4,21,'Screenings and Vaccines'
36,1,18,'Screenings and Vaccines'
13,5,22,'Screenings and Vaccines'
35,4,53,'Overall Health'
26,4,33,Caregiving
29,7,28,'Overall Health'
39,3,50,'Overall Health'
31,5,4,'Cognitive Decline'
35,2,38,'Overall Health'
20,7,31,'Overall Health'
1,7,53,'Mental Health'
18,7,37,'Cognitive Decline'
22,3,23,'Overall Health'
28,6,5,'Overall Health'
17,6,30,'Cognitive Decline'
4,3,28,'Screenings and Vaccines'
19,4,37,'Overall Health'
2,6,48,'Overall Health'
11,2,25,'Nutrition/Physical Activity/Obesity'
36,7,5,'Screenings and Vaccines'
35,5,15,'Overall Health'
15,7,10,'Smoking and Alcohol Use'
28,1,31,'Overall Health'
13,5,32,'Screenings and Vaccines'
7,2,36,'Screenings and Vaccines'
17,1,39,'Cognitive Decline'
22,6,50,'Overall Health'
28,3,12,'Overall Health'
10,6,34,'Screenings and Vaccines'
4,1,20,'Screenings and Vaccines'
16,7,30,'Mental Health'
38,2,31,'Overall Health'
32,7,26,'Nutrition/Physical Activity/Obesity'
8,5,35,'Screenings and Vaccines'
35,3,27,'Overall Health'
3,2,27,'Overall Health'
16,6,5,'Mental Health'
23,3,39,Caregiving
31,1,11,'Cognitive Decline'
13,5,15,'Screenings and Vaccines'
4,7,27,'Screenings and Vaccines'
31,6,37,'Cognitive Decline'
15,7,18,'Smoking and Alcohol Use'
15,7,1,'Smoking and Alcohol Use'
28,6,31,'Overall Health'
9,3,1,'Nutrition/Physical Activity/Obesity'
2,7,8,'Overall Health'
16,5,30,'Mental Health'
39,2,22,'Overall Health'
20,3,23,'Overall Health'
20,5,30,'Overall Health'
15,6,7,'Smoking and Alcohol Use'
13,7,21,'Screenings and Vaccines'
17,7,10,'Cognitive Decline'
16,3,25,'Mental Health'
11,4,22,'Nutrition/Physical Activity/Obesity'
39,7,4,'Overall Health'
4,4,36,'Screenings and Vaccines'
16,1,35,'Mental Health'
9,1,38,'Nutrition/Physical Activity/Obesity'
3,7,43,'Overall Health'
30,2,39,'Cognitive Decline'
7,1,46,'Screenings and Vaccines'
11,1,12,'Nutrition/Physical Activity/Obesity'
9,1,46,'Nutrition/Physical Activity/Obesity'
14,1,38,'Screenings and Vaccines'
11,6,28,'Nutrition/Physical Activity/Obesity'
17,4,39,'Cognitive Decline'
26,6,27,Caregiving
39,3,30,'Overall Health'
9,3,38,'Nutrition/Physical Activity/Obesity'
9,4,16,'Nutrition/Physical Activity/Obesity'
12,6,43,'Smoking and Alcohol Use'
2,7,28,'Overall Health'
34,6,45,'Overall Health'
12,3,7,'Smoking and Alcohol Use'
3,5,36,'Overall Health'
16,7,14,'Mental Health'
14,1,41,'Screenings and Vaccines'
2,2,11,'Overall Health'
15,7,53,'Smoking and Alcohol Use'
27,4,25,Caregiving
32,1,12,'Nutrition/Physical Activity/Obesity'
16,5,33,'Mental Health'
38,7,54,'Overall Health'
9,2,3,'Nutrition/Physical Activity/Obesity'
16,6,36,'Mental Health'
22,6,6,'Overall Health'
15,6,16,'Smoking and Alcohol Use'
32,1,26,'Nutrition/Physical Activity/Obesity'
35,7,27,'Overall Health'
1,5,21,'Mental Health'
4,2,31,'Screenings and Vaccines'
21,7,46,'Overall Health'
